age,cases,iso3n,country,poptotal,year,bcg_rate
0,2,170,"Colombia",760.037,2019,
1,2,170,"Colombia",749.891,2018,89
2,6,170,"Colombia",742.547,2017,91
3,2,170,"Colombia",737.841,2016,88
4,1,170,"Colombia",739.905,2015,90
5,3,170,"Colombia",738.273,2014,89
6,1,170,"Colombia",738.926,2013,85
7,1,170,"Colombia",741.758,2012,89
8,2,170,"Colombia",746.656,2011,83
9,4,170,"Colombia",752.965,2010,84
10,2,170,"Colombia",760.026,2009,90
11,1,170,"Colombia",770.463,2008,93
12,5,170,"Colombia",785.261,2007,93
13,2,170,"Colombia",802.668,2006,96
14,0,170,"Colombia",820.034,2005,94
15,4,170,"Colombia",837.99,2004,92
16,4,170,"Colombia",852.718,2003,97
17,2,170,"Colombia",862.075,2002,87
18,8,170,"Colombia",867.63,2001,87
19,7,170,"Colombia",872.749,2000,91
20,5,170,"Colombia",876.344,1999,80
21,12,170,"Colombia",879.904,1998,85
22,8,170,"Colombia",884.371,1997,97
23,14,170,"Colombia",888.542,1996,99
24,18,170,"Colombia",890.973,1995,99
25,15,170,"Colombia",892.794,1994,99
26,25,170,"Colombia",888.866,1993,96
27,20,170,"Colombia",876.755,1992,88
28,27,170,"Colombia",859.25,1991,95
29,19,170,"Colombia",841.419,1990,95
30,24,170,"Colombia",822.055,1989,94
31,21,170,"Colombia",805.111,1988,99
32,26,170,"Colombia",793.003,1987,80
33,27,170,"Colombia",783.856,1986,70
34,17,170,"Colombia",773.327,1985,76
35,15,170,"Colombia",762.23,1984,69
36,22,170,"Colombia",750.708,1983,79
37,15,170,"Colombia",738.381,1982,65
38,21,170,"Colombia",725.425,1981,57
39,16,170,"Colombia",712.926,1980,45
40,14,170,"Colombia",701.304,1979,
41,17,170,"Colombia",687.505,1978,
42,22,170,"Colombia",670.321,1977,
43,16,170,"Colombia",651.444,1976,
44,15,170,"Colombia",633.093,1975,
45,18,170,"Colombia",614.012,1974,
46,11,170,"Colombia",600.2,1973,
47,19,170,"Colombia",594.608,1972,
48,13,170,"Colombia",594.14,1971,
49,13,170,"Colombia",592.546,1970,
50,19,170,"Colombia",590.833,1969,
51,14,170,"Colombia",587.159,1968,
52,12,170,"Colombia",579.895,1967,
53,13,170,"Colombia",569.791,1966,
54,19,170,"Colombia",559.904,1965,
55,10,170,"Colombia",550.443,1964,
56,14,170,"Colombia",536.298,1963,
57,16,170,"Colombia",515.493,1962,
58,20,170,"Colombia",490.486,1961,
59,8,170,"Colombia",465.312,1960,
60,11,170,"Colombia",438.691,1959,
61,10,170,"Colombia",415.82,1958,
62,11,170,"Colombia",399.546,1957,
63,7,170,"Colombia",387.311,1956,
64,15,170,"Colombia",374.031,1955,
65,6,170,"Colombia",361.105,1954,
66,8,170,"Colombia",345.645,1953,
67,7,170,"Colombia",325.823,1952,
68,4,170,"Colombia",303.389,1951,
69,4,170,"Colombia",281.947,1950,
70,9,170,"Colombia",260.816,1949,
71,8,170,"Colombia",241.03,1948,
72,6,170,"Colombia",223.479,1947,
73,7,170,"Colombia",207.623,1946,
74,5,170,"Colombia",191.897,1945,
75,3,170,"Colombia",176.454,1944,
76,4,170,"Colombia",162.446,1943,
77,0,170,"Colombia",150.24,1942,
78,4,170,"Colombia",139.369,1941,
79,2,170,"Colombia",129.037,1940,
80,3,170,"Colombia",119.458,1939,
81,2,170,"Colombia",109.774,1938,
82,3,170,"Colombia",99.496,1937,
83,4,170,"Colombia",89.022,1936,
84,6,170,"Colombia",79.264,1935,
85,2,170,"Colombia",70.068,1934,
86,0,170,"Colombia",61.395,1933,
87,1,170,"Colombia",53.327,1932,
